ID,Show ID,User ID,Rating,Review,Review Date
3001,5185,234,4,Entertaining journey throughout!,2020-12-15
3002,5904,123,2,Lacked the promised adventure.,2020-03-21
3003,6500,412,5,A masterpiece redefining the genre.,2021-09-16
3004,6189,89,3,"Decent enough, but forgettable.",2024-01-28
3005,7001,205,1,"Tried too hard, fell too flat.",2020-07-24
3006,5645,311,4,A rollercoaster of emotions and thrills.,2021-09-03
3007,6867,156,5,Changed my view on the whole genre.,2022-11-20
3008,6345,404,3,Fun for a one-time watch.,2021-09-15
3009,7042,19,1,An utter disappointment from start to finish.,2021-06-17
3010,5278,333,4,A delightful surprise. Much recommended!,2020-06-27
3011,6904,488,5,Phenomenal storytelling and breathtaking visuals!,2020-08-25
3012,6128,151,2,Struggled to keep me engaged.,2023-05-31
3013,5581,257,4,Strong characters and captivating plot.,2022-02-10
3014,6666,98,2,Expected so much more.,2022-12-07
3015,5790,410,4,Immersively entertaining experience.,2021-02-19
3016,6942,212,1,Fell asleep midway through.,2020-08-23
3017,5398,34,5,An epic tale marvelously told!,2020-01-23
3018,6234,178,3,"Good, not great.",2021-11-23
3019,7111,456,5,"A cinematic masterpiece, truly unforgettable.",2021-08-05
3020,5302,297,2,A tedious affair. Expected way more.,2022-04-01
3021,6051,119,3,"Has its moments, but overall just okay.",2022-10-31
3022,6789,326,4,Visually stunning with a soulful narrative.,2021-09-09
3023,7033,48,5,A landmark in its field. Pure genius.,2021-08-09
3024,5256,372,1,How did this even get released?,2020-01-10
3025,7179,230,2,Forgettable plot and mediocre acting.,2021-06-02
3026,5184,234,4,An epic journey through realms unknown. Truly a spectacle.,2021-06-12
3027,6078,37,5,A masterpiece that redefines the genre entirely.,2021-10-29
3028,6830,122,3,Interesting concept but the execution lacked depth.,2020-12-20
3029,5402,401,2,Started strong but lost its way halfway through.,2022-10-04
3030,6250,89,1,A total miss. Couldn't even finish watching.,2019-11-03
3031,6175,178,4,Hits all the right notes. A hidden gem.,2023-09-20
3032,6599,47,5,A riveting experience from start to finish. Highly recommended!,2020-10-27
3033,5527,305,3,"Had its moments, but overall just decent.",2022-12-05
3034,7100,216,2,Fell short of expectations. Quite forgettable.,2020-02-26
3035,5894,482,1,More like a collection of clichés. Very disappointing.,2023-08-24
3036,5660,201,4,A delightful surprise. More engaging than anticipated.,2022-10-13
3037,6183,150,5,A thrilling ride from the first episode to the last. Amazing.,2020-06-11
3038,5352,340,3,"Worth a watch, but nothing ground-breaking.",2020-09-17
3039,7056,44,2,Struggles to maintain a consistent tone. A mixed bag.,2021-03-10
3040,5905,98,1,Couldn't get past the first few episodes. Terribly executed.,2020-07-02
3041,5768,420,4,Unexpectedly engaging with well-fleshed out characters.,2021-10-17
3042,6328,188,5,An absolute must-watch. Leaves a lasting impression.,2020-01-14
3043,5600,37,3,Decent overall but fails to deliver on its initial promise.,2021-05-06
3044,6540,256,2,Overhyped and underdelivered. Lacked originality.,2021-07-21
3045,6042,477,1,The low point of the franchise. Baffling decisions throughout.,2020-06-13
3046,5720,107,4,A solid addition to the series. Both new and familiar.,2021-08-28
3047,6907,332,5,Epitomizes the best of its genre. Completely enthralling.,2020-07-15
3048,5483,212,3,A competent albeit predictable entry. Enjoyable enough.,2022-01-23
3049,7118,488,2,Tries too hard to be deep. Ends up falling flat.,2021-04-18
3050,5806,39,1,A collection of wasted potential. Not worth the time.,2021-04-30
3051,5181,23,4,A captivating saga that redefines the boundaries of storytelling.,2023-12-14
3052,5893,47,5,A masterpiece that weaves magic and reality into a breathtaking tapestry.,2021-07-09
3053,6543,112,3,"An enjoyable journey, though it stumbles at times with pacing.",2021-06-20
3054,6011,19,2,A lackluster effort missing the charm and depth of its predecessor.,2019-12-04
3055,7002,487,1,Failed to meet even the lowest of expectations.,2022-05-07
3056,6190,56,5,A triumphant exploration of the human spirit.,2023-08-18
3057,5290,329,4,A well-crafted adventure that keeps you on the edge of your seat.,2022-07-18
3058,6745,189,3,An interesting concept that doesn’t fully deliver on its promise.,2020-02-28
3059,5821,3,4,"Visually stunning, with a story that captivates and enthralls.",2020-12-05
3060,6120,48,2,"Ambitious yet flawed, struggling to hit its stride.",2021-08-01
3061,6028,104,5,An instant classic that resonates with depth and emotion.,2023-01-10
3062,6861,202,1,A dreary journey through a muddled narrative.,2021-01-31
3063,5932,395,3,"Has its moments, but ultimately fails to captivate.",2021-10-03
3064,7013,150,4,"A dazzling feast for the senses, both thrilling and heartwarming.",2020-02-26
3065,5681,280,5,Undoubtedly a genre-defining spectacle that exceeds all precedent.,2021-10-20
3066,6342,118,2,"Struggles with identity and execution, leaving much to be desired.",2021-07-08
3067,6198,77,4,A thrilling ride that expertly balances narrative depth with spectacle.,2022-06-18
3068,7029,90,1,A bewildering mess of themes and unfinished arcs.,2022-03-12
