ID,Rating,Review
1,5,Absolutely brilliant series! The storyline had me hooked from the first episode.
2,4,"Great characters and plot development, though the final season felt a bit rushed."
3,3,"Decent watch, but some episodes felt unnecessarily dragged. Great special effects though."
4,2,Struggled to finish this one. The concept was interesting but poorly executed.
5,1,Couldn't get past the first few episodes. Not my cup of tea.
6,5,A masterpiece of visual and storytelling excellence. A must-watch!
7,4,Really enjoyed it! A few predictable moments but overall very entertaining.
8,3,Good for a one-time watch. The acting was superb but the script lacked depth.
9,2,Wanted to like it more but found it hard to connect with the main characters.
10,1,Fell flat for me. The pacing was all over the place and the ending was disappointing.
11,5,Absolutely breathtaking! The twists were unexpected and kept me on the edge of my seat.
12,3,"It was okay, but felt like it dragged on in parts. Could have been shorter."
13,4,Great character development and the storyline was engaging. Would recommend!
14,2,Disappointed by the predictable plot. Felt like I've seen it all before.
15,5,A masterpiece of its genre. The visuals were stunning and the plot was intriguing.
16,4,"Really good! A few plot holes, but overall an enjoyable watch."
17,3,Average. Nothing new but not entirely boring either.
18,1,Couldn't even finish it. Terrible dialogue and nonsensical plot twists.
19,4,"Impressive! Wasn't sure at the start, but it definitely grew on me."
20,5,"This is a must-watch! The storyline, acting, and production were all top-notch. A true gem."
21,4,A riveting journey through enchanted realms. Left me breathless!
22,5,Heartwarming tale with an unexpected twist. Truly a masterpiece.
23,3,Fun to watch but kind of predictable. The visuals were stunning though.
24,5,An epic saga that redefines the genre. Absolutely unforgettable.
25,2,"Tried too hard to be deep and meaningful. Sadly, missed the mark."
26,4,A delightful blend of comedy and tragedy. Highly recommend.
27,3,It's okay. A decent way to spend an evening but nothing spectacular.
28,1,Couldn't make it through the first half. Very disappointing.
29,5,A magical masterpiece. Takes you on an adventure you'll never forget.
30,2,Lots of hype but ultimately lacks substance. Visuals were the only good part.
31,5,Absolutely mind-blowing! A visual masterpiece with a compelling storyline.
32,4,Great watch! Some episodes dragged on but overall very engaging.
33,2,Started strong but lost its way halfway through. Could have been much better.
34,3,Average. Some good moments but nothing exceptional.
35,4,Loved the characters and the plot twists! Would definitely recommend.
36,1,Disappointing. Failed to live up to the hype.
37,5,A true classic! Every moment was captivating.
38,3,It was okay. Enjoyable but not memorable.
39,5,Incredible! The storytelling and animation blew me away.
40,2,"Had potential, but the execution was poor. Not worth the time."
41,5,"Absolutely thrilling from start to finish, characters were so well-developed!"
42,2,Found it quite boring and predictable. The landscape shots were the only redeeming quality.
43,4,"Great character arcs and amazing special effects, but the finale was a bit of a letdown."
44,3,"It was alright, some episodes in the middle felt like filler, but it picked up towards the end."
45,5,Masterpiece! Every scene feels significant and the soundtrack is phenomenal.
46,1,Couldn't get past the first few episodes. Felt too slow and none of the characters clicked with me.
47,4,"Has its ups and downs, but overall a very touching story with some unexpected twists."
48,2,"The concept was intriguing, but the execution left much to be desired. Seemed like it couldn't decide on its tone."
49,4,"Visually stunning, with a gripping plot to boot. Some dialogues felt a bit forced though."
50,3,Decent watch. Some arcs felt redundant and could have been replaced with more backstory for the main cast.
51,5,"Absolutely loved it, a true masterpiece from start to finish"
52,3,"It was okay, had its moments but overall quite predictable"
53,4,"Great watch, really enjoyed the plot twists!"
54,2,"Not my cup of tea, struggled to get through the first few episodes"
55,5,Incredible! The character development was phenomenal
56,1,"Couldn't make it past the first episode, it was that bad"
57,4,"Pretty good, I would recommend it to friends"
58,3,"Average, nothing special but not terrible either"
59,4,"Had a lot of fun watching, the cast really carried the show"
60,5,"A riveting narrative, kept me hooked the entire time. Absolutely brilliant!"
61,5,Absolutely fantastic! Kept me on the edge of my seat from start to finish.
62,3,"It was okay, not the best I've seen but entertaining enough."
63,4,Great character development and plot twists! Really enjoyed it.
64,2,Found it quite boring and predictable. Not my cup of tea.
65,5,"A masterpiece! Visuals, storytelling, and acting were all top-notch."
66,1,Couldn't get past the first episode. Really not for me.
67,4,Very engaging and well-produced. Looking forward to the next season.
68,3,Had its moments but was a bit dragged out in places.
69,5,Loved every moment! The casting was perfect and so was the plot.
70,4,Impressive storyline with brilliant cinematography. Lost a point for the pacing in the middle.
71,5,Absolutely mesmerizing! A journey I never wanted to end.
72,3,Interesting premise but fell short on character development.
73,4,Great entertainment with some unexpected twists. Highly recommend!
74,2,Had high hopes but was ultimately disappointed. The plot was too predictable.
75,5,A masterpiece! Every moment was captivating.
76,1,Struggled to get through it. Not my cup of tea.
77,4,Really enjoyed the storyline and the characters. Would watch a sequel.
78,3,"Decent watch, though some parts felt rushed."
79,4,A solid entry into the genre. Likable characters and a compelling plot.
80,5,Blew me away! An unforgettable experience that I'll likely revisit.
81,5,Incredible storyline with mind-bending twists. A classic!
82,4,"Great character development, but felt a bit slow in the middle."
83,3,"Fairly entertaining, though predictable at times."
84,2,"Lacked the depth I was hoping for, but the special effects were good."
85,5,Absolutely phenomenal! The world-building is unmatched.
86,4,"Great action-packed sequences, but the ending was a bit of a letdown."
87,1,Failed to hold my attention. The plot was all over the place.
88,3,Not bad. A decent watch with a few standout moments.
89,4,"Really enjoyed the cinematography and soundtrack, although the pacing was off."
90,5,A masterpiece! Engaging from start to finish with superb acting.
91,5,Absolutely mind-blowing! The plot twists had me at the edge of my seat
92,3,"It was okay, some episodes were a bit slow but overall an enjoyable experience"
93,4,Great character development and stunning visual effects. A must-watch!
94,2,Started strong but lost its charm midway. The ending was too predictable
95,4,Loved the chemistry between the protagonists. The soundtrack is also fantastic!
96,5,A masterpiece! Every scene is a work of art. Highly recommend.
97,3,Good for a one-time watch. Some plot points didn't make sense to me
98,1,Couldn't get past the first few episodes. Not my cup of tea
99,5,An emotional rollercoaster from start to finish. Absolutely loved it!
100,4,Engaging storyline with fantastic world-building. Eagerly awaiting the next season
101,5,Exceptional storytelling with intricate characters. A masterpiece!
102,3,Started strong but lost its way in the later seasons.
103,4,"Great visuals and sound design, the narrative was engaging but had a few plot holes."
104,2,"Disappointing finale, felt like the writers rushed it."
105,5,Remained true to its source material and brilliantly executed.
106,1,Struggled to finish it. Lacked character development and a coherent story.
107,4,"Solid performances by the cast, and an interesting twist at the end."
108,3,Good for a one-time watch but wouldn't recommend for a rewatch.
109,5,"Unforgettable experience, this show will stay with me for a long time."
110,2,"Too predictable and clichéd, could have been executed better."
111,4,A visual feast with a slow start but an incredible ending
112,5,Never have I been so captivated by a show's storyline and characters
113,3,Decent watch but some episodes felt unnecessarily long
114,2,Had high hopes but was disappointed by the lackluster plot and pacing
115,5,"A masterpiece of storytelling, acting, and cinematography"
116,4,Engaging and thrilling from start to finish
117,1,Struggled to get through the first episode. Not for me unfortunately
118,3,"It's okay, nothing to write home about. Pretty standard fare"
119,4,Great character development and plot twists that keep you guessing
120,2,I wanted to like it more but found it quite predictable and boring
121,5,An epic journey that left me on the edge of my seat from start to finish!
